time;temperature at 2m;relative humidity;precipitation;wind_speed
2022-10-12-23-20;10.6;95;0;0.5
2022-10-12-23-30;10.5;95;0;0.3
2022-10-12-23-40;10.3;95;0;0.3
2022-10-12-23-50;10.3;95;0;0.4
2022-10-13-00-00;10.4;95;0;0.9
2022-10-13-00-10;10.4;96;0;0.6
2022-10-13-00-20;10.3;96;0;0.4
2022-10-13-00-30;10.3;95;0;0.7
2022-10-13-00-40;10;96;0;0.5
2022-10-13-00-50;10;96;0;0.3
2022-10-13-01-00;9.8;96;0;0.6
2022-10-13-01-10;9.9;96;0;0.5
2022-10-13-01-20;9.9;96;0;0.6
2022-10-13-01-30;9.7;97;0;0.6
2022-10-13-01-40;9.7;96;0;0.6
2022-10-13-01-50;9.8;96;0;0.7
2022-10-13-02-00;9.6;96;0;1
2022-10-13-02-10;9.6;97;0;0.9
2022-10-13-02-20;9.6;97;0;0.8
2022-10-13-02-30;9.6;98;0;0.5
2022-10-13-02-40;9.6;98;0;0.8
2022-10-13-02-50;9.7;97;0;0.5
2022-10-13-03-00;9.8;97;0;0.4
2022-10-13-03-10;9.8;98;0;0.6
2022-10-13-03-20;9.8;98;0;0.4
2022-10-13-03-30;9.9;98;0;0.4
2022-10-13-03-40;10;98;0;0.7
2022-10-13-03-50;9.9;98;0;0.6
2022-10-13-04-00;9.9;98;0;0.5
2022-10-13-04-10;9.8;98;0;0.6
2022-10-13-04-20;9.8;98;0;0.6
2022-10-13-04-30;9.8;98;0;0.6
2022-10-13-04-40;9.7;98;0;1.1
2022-10-13-04-50;9.7;98;0;1.1
2022-10-13-05-00;9.7;98;0;0.8
2022-10-13-05-10;9.7;99;0;0.8
2022-10-13-05-20;9.6;98;0;0.8
2022-10-13-05-30;9.5;98;0;0.8
2022-10-13-05-40;9.5;98;0;0.6
2022-10-13-05-50;9.5;98;0;1
2022-10-13-06-00;9.5;99;0;0.9
2022-10-13-06-10;9.5;99;0;0.8
2022-10-13-06-20;9.5;99;0;1
2022-10-13-06-30;9.4;99;0;0.8
2022-10-13-06-40;9.4;99;0;1
2022-10-13-06-50;9.4;99;0;1.3
2022-10-13-07-00;9.3;99;0;1.3
2022-10-13-07-10;9.2;99;0;1
2022-10-13-07-20;9.2;99;0;1.2
2022-10-13-07-30;9.2;99;0;1
2022-10-13-07-40;9.3;99;0;1
2022-10-13-07-50;9.4;99;0;1
2022-10-13-08-00;9.3;99;0;1.5
2022-10-13-08-10;9.3;99;0;1.2
2022-10-13-08-20;9.3;99;0;1.1
2022-10-13-08-30;9.4;99;0;1.2
2022-10-13-08-40;9.3;99;0;0.6
2022-10-13-08-50;9.4;99;0;0.5
2022-10-13-09-00;9.5;99;0;0.4
2022-10-13-09-10;9.7;99;0;0.6
2022-10-13-09-20;9.8;99;0;0.6
2022-10-13-09-30;9.9;98;0;0.7
2022-10-13-09-40;10;98;0;0.7
2022-10-13-09-50;10.2;98;0;1
2022-10-13-10-00;10.4;97;0;0.7
2022-10-13-10-10;10.4;97;0;0.8
2022-10-13-10-20;10.8;95;0;0.8
2022-10-13-10-30;11.3;93;0;1
2022-10-13-10-40;11.8;89;0;0.8
2022-10-13-10-50;12.5;86;0;0.7
2022-10-13-11-00;13.4;82;0;0.7
2022-10-13-11-10;13.9;79;0;0.9
2022-10-13-11-20;14;78;0;1.3
2022-10-13-11-30;14.5;76;0;1.2
2022-10-13-11-40;14.8;76;0;1.1
2022-10-13-11-50;14.8;75;0;1
2022-10-13-12-00;15.4;74;0;1.3
2022-10-13-12-10;15.6;74;0;1.3
2022-10-13-12-20;16;73;0;1.3
